x,y,z
91.017,-30.599999999999998,0.0892018779342723
93.275,-30.599999999999998,0.08900523560209424
95.53299999999999,-30.599999999999998,0.06666666666666667
97.791,-30.599999999999998,0.058394160583941604
100.04899999999999,-30.599999999999998,0.07317073170731707
102.30699999999999,-30.599999999999998,0.09375
104.565,-30.599999999999998,0.16666666666666666
106.823,-30.599999999999998,0.1935483870967742
109.08099999999999,-30.599999999999998,0.06666666666666667
111.339,-30.599999999999998,
113.597,-30.599999999999998,
115.85499999999999,-30.599999999999998,
118.113,-30.599999999999998,
120.371,-30.599999999999998,
9.729,-27.0,
11.987,-27.0,
14.245,-27.0,
16.503,-27.0,
18.761,-27.0,0.0
21.019,-27.0,
23.277,-27.0,0.0
25.535,-27.0,0.8571428571428571
27.793,-27.0,0.0
30.051,-27.0,0.4166666666666667
32.309,-27.0,0.38461538461538464
34.567,-27.0,0.4444444444444444
36.825,-27.0,0.5
39.083,-27.0,0.4
41.341,-27.0,0.29411764705882354
43.599000000000004,-27.0,0.09090909090909091
45.857,-27.0,0.17647058823529413
48.115,-27.0,0.07142857142857142
50.373000000000005,-27.0,0.07692307692307693
52.631,-27.0,0.0625
54.888999999999996,-27.0,0.0
57.147000000000006,-27.0,0.0625
59.405,-27.0,0.017857142857142856
61.663,-27.0,0.1896551724137931
63.921,-27.0,0.0449438202247191
66.179,-27.0,0.043478260869565216
68.437,-27.0,0.03125
70.695,-27.0,0.046296296296296294
72.953,-27.0,0.017857142857142856
75.21099999999998,-27.0,0.025423728813559324
77.469,-27.0,0.023076923076923078
79.727,-27.0,0.03289473684210526
81.98499999999999,-27.0,0.03614457831325301
84.243,-27.0,0.05405405405405406
86.501,-27.0,0.09313725490196079
88.75899999999999,-27.0,0.06842105263157895
91.017,-27.0,0.06880733944954129
93.275,-27.0,0.1134020618556701
95.53299999999999,-27.0,0.14465408805031446
97.791,-27.0,0.18787878787878787
100.04899999999999,-27.0,0.1111111111111111
102.30699999999999,-27.0,0.23232323232323232
104.565,-27.0,0.12162162162162163
106.823,-27.0,0.1282051282051282
